SMILES,Agonist_Activity,SMILES_raw
CCC(/C=C/[C@@H](C)[C@H]1CCC2C3CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@@]21C)C(C)C,inactive,CCC(/C=C/[C@@H](C)[C@H]1CCC2[C@@]1(CCC3C2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C
N#CC(O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,inactive,C1=CC=C(C=C1)C(C#N)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O
Cn1c(=O)c2c(ncn2C)n(C)c1=O,inactive,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,inactive,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,inactive,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,inactive,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
NC(Cc1c[nH]c2ccccc12)C(=O)O,inactive,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N
NNC(=O)c1ccncc1,inactive,C1=CN=CC=C1C(=O)NN
Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,inactive,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N
O=C(O)c1cccnc1,inactive,C1=CC(=CN=C1)C(=O)O
COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,inactive,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,inactive,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@@H](O)[C@@H](O)[C@@H](O)CO)c2cc1C,inactive,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@H]([C@H]([C@H](CO)O)O)O
O=C(O)CC(O)(CC(=O)O)C(=O)O,inactive,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
C=CCc1ccc2c(c1)OCO2,inactive,C=CCC1=CC2=C(C=C1)OCO2
O=C(O)c1cc(O)c(O)c(O)c1,inactive,C1=C(C=C(C(=C1O)O)O)C(=O)O
O=c1ccc2ccccc2o1,inactive,C1=CC=C2C(=C1)C=CC(=O)O2
O=C(O)c1ccccc1,inactive,C1=CC=C(C=C1)C(=O)O
NC(=O)Nc1[nH]c(=O)[nH]c1O,inactive,C1(C(=O)NC(=O)N1)NC(=O)N
COc1ccc2ccc(=O)oc2c1,inactive,COC1=CC2=C(C=C1)C=CC(=O)O2
O=c1ccc2ccc(O)cc2o1,inactive,C1=CC(=CC2=C1C=CC(=O)O2)O
CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,inactive,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C
Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,inactive,CC1=C(C2=C(CC[C@@](O2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=C1O)C)C
OC1C(O)C(O)C(O)C(O)C1O,inactive,C1(C(C(C(C(C1O)O)O)O)O)O
COc1c(O)c(C)c(C=CC(C)=CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c(O)c1OC,inactive,CC1=C(C(=O)C(=C(C1=O)OC)OC)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C
CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O,inactive,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O
O[C@@H]1[C@@H](O)[C@H](OC/C=C/c2ccccc2)O[C@H](CO[C@@H]2OC[C@H](O)[C@H](O)[C@H]2O)[C@H]1O,inactive,C1[C@@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC/C=C/C3=CC=CC=C3)O)O)O)O)O)O
O=C(O)C1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@@H](O)[C@@H]1O,inactive,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O
O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,inactive,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O
COc1ccc(-c2coc3cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)ccc3c2=O)cc1,inactive,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O
O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1O)c1cc(O)c(O)c(O)c1,inactive,C1=C(C=C(C(=C1O)O)O)C(=O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O)O
