SMILES,Agonist_Activity
C1=CC=C(C=C1)C(C#N)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O,Inactive
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Inactive
C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,Inactive
CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,Inactive
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,Inactive
C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,Inactive
C1=CN=CC=C1C(=O)NN,Inactive
C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,Inactive
C1=CC(=CN=C1)C(=O)O,Inactive
COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,Inactive
CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,Inactive
CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@H]([C@H]([C@H](CO)O)O)O,Inactive
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Inactive
C=CCC1=CC2=C(C=C1)OCO2,Inactive
C1=C(C=C(C(=C1O)O)O)C(=O)O,Inactive
C1=CC=C2C(=C1)C=CC(=O)O2,Inactive
C1=CC=C(C=C1)C(=O)O,Inactive
C1(C(=O)NC(=O)N1)NC(=O)N,Inactive
COC1=CC2=C(C=C1)C=CC(=O)O2,Inactive
C1=CC(=CC2=C1C=CC(=O)O2)O,Inactive
CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,Inactive
CC1=C(C2=C(CC[C@@](O2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=C1O)C)C,Inactive
C1(C(C(C(C(C1O)O)O)O)O)O,Inactive
CC1=C(C(=O)C(=C(C1=O)OC)OC)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C,Inactive
CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O,Inactive
