SMILES,Agonist_Activity,SMILES_raw
NC(=O)c1cc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)ccc1Cl,active,C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)C(=O)N)C5=CC=C(C=C5)Cl
Clc1ccc(Cn2cc(-c3c(-c4ccc(Cl)c(Cl)c4)nc4sccn34)nn2)cc1Cl,active,C1=CC(=C(C=C1CN2C=C(N=N2)C3=C(N=C4N3C=CS4)C5=CC(=C(C=C5)Cl)Cl)Cl)Cl
Clc1ccc(-c2nc3sccn3c2-c2cn(Cc3ccccc3)nn2)cc1,active,C1=CC=C(C=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CS4)C5=CC=C(C=C5)Cl
COc1ccc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4sccn34)nn2)cc1OC,active,COC1=C(C=C(C=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CS4)C5=CC=C(C=C5)Cl)OC
Clc1ccc(-c2nc3ccccn3c2-c2nnc(Cc3ccc(Cl)c(Cl)c3)o2)cc1,active,C1=CC2=NC(=C(N2C=C1)C3=NN=C(O3)CC4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)Cl
NC(=O)c1cc(Nc2ccc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)cn2)ccc1Cl,inactive,C1=CC2=NC(=C(N2C=C1)C3=CN=C(C=C3)NC4=CC(=C(C=C4)Cl)C(=O)N)C5=CC=C(C=C5)Cl
Clc1ccc(-c2nc3ccccn3c2-c2cn(Cc3ccccc3)nn2)cc1,active,C1=CC=C(C=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl
Clc1ccc(-c2nc3sccn3c2-c2cn(Cc3ccccn3)nn2)cc1,active,C1=CC=NC(=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CS4)C5=CC=C(C=C5)Cl
O=Cc1cc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)ccc1Cl,active,C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)C=O)C5=CC=C(C=C5)Cl
NC(=O)c1cc(Oc2ccc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)cn2)ccc1Cl,inactive,C1=CC2=NC(=C(N2C=C1)C3=CN=C(C=C3)OC4=CC(=C(C=C4)Cl)C(=O)N)C5=CC=C(C=C5)Cl
Clc1ccc(-c2nc3ccccn3c2-c2nc(Cc3ccc(Cl)c(Cl)c3)no2)cc1,active,C1=CC2=NC(=C(N2C=C1)C3=NC(=NO3)CC4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)Cl
O=[N+]([O-])c1cc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)ccc1Cl,active,C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)[N+](=O)[O-])C5=CC=C(C=C5)Cl
CSc1ccc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)cc1,active,CSC1=CC=C(C=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl
Clc1ccc(-c2nc3ccccn3c2-c2cn(Cc3ccc(Cl)c(Cl)c3)nn2)c(Cl)c1,active,C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)Cl)C5=C(C=C(C=C5)Cl)Cl
Clc1ccc(-c2nc3sccn3c2-c2csc(Cc3ccc(Cl)c(Cl)c3)n2)cc1,active,C1=CC(=CC=C1C2=C(N3C=CSC3=N2)C4=CSC(=N4)CC5=CC(=C(C=C5)Cl)Cl)Cl
COc1ccc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)cc1OC,active,COC1=C(C=C(C=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl)OC
Nc1cc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)ccc1Cl,active,C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)N)C5=CC=C(C=C5)Cl
CC(=O)Nc1ccc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)cc1,inactive,CC(=O)NC1=CC=C(C=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl
Fc1ccc(-c2nc3ccccn3c2-c2cn(Cc3ccc(Cl)c(Cl)c3)nn2)cc1,active,C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)F
CC(=O)c1cc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)ccc1Cl,active,CC(=O)C1=C(C=CC(=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl)Cl
COc1ccc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4sccn34)nn2)cc1,active,COC1=CC=C(C=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CS4)C5=CC=C(C=C5)Cl
COc1ccc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)cc1,active,COC1=CC=C(C=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl
FC(F)(F)c1ccc(-c2nc3ccccn3c2-c2cn(Cc3ccc(Cl)c(Cl)c3)nn2)cc1,active,C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)C(F)(F)F
CC(=O)Nc1cc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)ccc1Cl,active,CC(=O)NC1=C(C=CC(=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl)Cl
Clc1ccc(-c2nc3sccn3c2-c2nc(Cc3ccc(Cl)c(Cl)c3)no2)cc1,active,C1=CC(=CC=C1C2=C(N3C=CSC3=N2)C4=NC(=NO4)CC5=CC(=C(C=C5)Cl)Cl)Cl
CS(=O)(=O)c1ccc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)cc1,active,CS(=O)(=O)C1=CC=C(C=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl
Clc1ccc(-c2nc3ccccn3c2-c2nnc(Cc3ccc(Cl)c(Cl)c3)s2)cc1,active,C1=CC2=NC(=C(N2C=C1)C3=NN=C(S3)CC4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)Cl
Clc1ccc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)cc1,active,C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl
ON=Cc1cc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)ccc1Cl,active,C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)/C=N/O)C5=CC=C(C=C5)Cl
Clc1ccc(-c2nc3ccccn3c2-c2csc(Cc3ccc(Cl)c(Cl)c3)n2)cc1,active,C1=CC2=NC(=C(N2C=C1)C3=CSC(=N3)CC4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)Cl
