CID,SMILES,Agonist_Activity,Agonist_Potency (uM),Agonist_Efficacy (%),Viability_Activity,Viability_Potency (uM),Viability_Efficacy (%),SMILES_raw
7547.0,O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1,active,4.915873991,34.19285574,active antagonist,18.8336,-52.234,C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl
6702.0,Cc1ccc2c(c1N)C(=O)c1ccccc1C2=O,active,5.184546174,63.89383665,active antagonist,50.8601,-53.3139,CC1=C(C2=C(C=C1)C(=O)C3=CC=CC=C3C2=O)N
4936.0,C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,active,5.243143476,22.51464573,active antagonist,7.69588,-44.3321,CC(C)(C)C1=CC=C(C=C1)OC2CCCCC2OS(=O)OCC#C
5430.0,c1ccc2[nH]c(-c3cscn3)nc2c1,active,5.308038637,42.99653072,inactive,,0.0,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3
24405.0,CC(C)=CCNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,active,5.308038637,35.13885965,active antagonist,3.10171,-48.2914,CC(=CCNC1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)C
40854.0,COC(=O)Nc1nc2cc([S+]([O-])c3ccccc3)ccc2[nH]1,active,5.308038637,25.65724508,inactive,,0.0,COC(=O)NC1=NC2=C(N1)C=C(C=C2)S(=O)C3=CC=CC=C3
41385.0,CC1=C(C)S(=O)(=O)CCS1(=O)=O,active,5.348689088,29.74739771,inactive,,0.0,CC1=C(S(=O)(=O)CCS1(=O)=O)C
40326.0,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,active,5.448267328,73.66078779,inactive,,0.0,CC1(C(C1C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C
166480.0,Cc1cc(C)c(C(=O)P(=O)(c2ccccc2)c2ccccc2)c(C)c1,active,5.448267328,75.9207123,active antagonist,71.273,-43.171,CC1=CC(=C(C(=C1)C)C(=O)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3)C
4767.0,CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,active,5.448267328,56.27122142,inactive,,0.0,CC(=CC1C(C1(C)C)C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C
159977.0,CN1CCN(c2cc3c(nn2)Oc2ccccc2N3C)CC1,active,5.477844845,32.60131359,inactive,,0.0,CN1CCN(CC1)C2=NN=C3C(=C2)N(C4=CC=CC=C4O3)C
107641.0,CCC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,active,5.515701337,35.124596,inactive,,0.0,CCC(C1=CC=C(C=C1)N2CC3=CC=CC=C3C2=O)C(=O)O
6035.0,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1Br,active,5.531481782,43.75055457,inactive,,0.0,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)Br)CO)O
