Structure,Molecule name,CAS,SMILES,ID_base,,ID_asignado,ID_concatenado,DB source,DB soubsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,Mode of action,Data Base source reference
,2-phenylphenol,,C1=CC=C(C=C1)C2=CC=CC=C2O,1340,,#¡REF!,226_PPDB,PPDB,,acute,,rat,oral,=,2733,mg/kg,170.21,0.0161,1.7943,"Broad-spectrum, contact",
,Propionic acid,,CCC(=O)O,1341,,#¡REF!,227_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,74.0786,#¡VALOR!,#¡VALOR!,Though to depress microbial growth in the gastro-intestinal tract,
,8-hydroxyquinoline,,C1=CC2=C(C(=C1)O)N=CC=C2,1354,,#¡REF!,228_PPDB,PPDB,,acute,,rat,oral,=,790,mg/kg,145.161,0.0054,2.2642,"Systemic, preventative and curative - chelates various metals required by micro-organisms for their metabolism.",
,,,-,1376,,#¡REF!,232_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,,#¡VALOR!,#¡VALOR!,"Contact action, eggs covered by an oil film are starved of oxygen and so do not hatch.",
,Isopyrazam (Ref: SYN 520453),,CC(C)C1C2CCC1C3=C2C=CC=C3NC(=O)C4=CN(N=C4C(F)F)C,1449,,#¡REF!,235_PPDB,PPDB,,acute,,rat,oral,=,2000,mg/kg,359.419,0.0056,2.2546,"Protectant, foliar absorption, translocates, inhibits respiration and spore germination and so germ tude elongation - a succinate dehydrogenase inhibitor",
,Barium polysulphide,,[S-2].[Ba+2],1458,,#¡REF!,236_PPDB,PPDB,,acute,,rat,oral,=,375,mg/kg,169.396,0.0022,2.6549,"Phytotoxic, alkaline corrosive nature may also attack cell membranes",
,,,-,1461,,#¡REF!,237_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,,#¡VALOR!,#¡VALOR!,"Broad spectrum, non-systemic, inhibiting fungal spores from entering the host tissues",
,Fentin chloride (Ref: HOE 2872),,C1=CC=C(C=C1)[Sn](C2=CC=CC=C2)(C3=CC=CC=C3)Cl,1477,,#¡REF!,241_PPDB,PPDB,,acute,,rat,oral,=,135,mg/kg,385.48,0.0004,3.4557,Non-systemic with predominate contact activity. Inhibitor of ATP synthase.,
,Asomate,,CN(C)C(=S)S[As](SC(=S)N(C)C)SC(=S)N(C)C,1510,,#¡REF!,243_PPDB,PPDB,,acute,,rat,oral,=,335,mg/kg,435.581,0.0008,3.1140,Protective and curative action,
,Potassium iodide,,[K+].[I-],1529,,#¡REF!,244_PPDB,PPDB,,acute,,rat,oral,=,1862,mg/kg,165.998,0.0112,1.9501,"Contact, curative action, kills spores and mycelium within 24hrs by inhibiting growth, respiration and other metabolic functions",
,Potassium thiocyanate,,C(#N)[S-].[K+],1530,,#¡REF!,245_PPDB,PPDB,,acute,,rat,oral,=,854,mg/kg,97.182,0.0088,2.0561,"Contact, curative action, kills spores and mycelium within 24hrs by inhibiting growth, respiration and other metabolic functions",
,Propamocarb (Ref: SN 39744),,CCCOC(=O)NCCCN(C)C,1546,,#¡REF!,246_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,188.27,#¡VALOR!,#¡VALOR!,"Systemic, with protective action absorbed by roots and leaves and translocated. Lipid synthesis inhibitor.",
,Furmecyclox (Ref: BAS 389F),,CC1=CC(=C(O1)C)C(=O)N(C2CCCCC2)OC,1566,,#¡REF!,248_PPDB,PPDB,,acute,,rat,oral,=,3780,mg/kg,251.325,0.0150,1.8227,"Systemic, inhibits mitochondrial function",
,Glutaraldehyde,,C(CC=O)CC=O,1567,,#¡REF!,249_PPDB,PPDB,,acute,,rat,oral,=,134,mg/kg,100.117,0.0013,2.8734,Inhibits the synthesis of macromolecules,
,Sulfuryl fluoride,,O=S(=O)(F)F,1569,,#¡REF!,251_PPDB,PPDB,,acute,,rat,oral,=,100,mg/kg,102.06,0.0010,3.0089,Non-systemic with complex mode of action that prevents stored fats to be utilised leading to insufficent energy available for survival,
,2-(thiocyanomethylthio)benzothiazole,,C1=CC=C2C(=C1)N=C(S2)SCSC#N,1573,,#¡REF!,252_PPDB,PPDB,,acute,,rat,oral,=,143,mg/kg,238.359,0.0006,3.2219,Complex - reacts with the nucleophilic cell entities which causes the antimicrobial activity. Also known to inhibit flavoenzymes in the tricarboxylic acid cycle.,
,"10,10'-oxybisphenoxarsine (Ref: HSDB 6375)",,C1=CC=C2C(=C1)OC3=CC=CC=C3[As]2O[As]4C5=CC=CC=C5OC6=CC=CC=C64,1614,,#¡REF!,253_PPDB,PPDB,,acute,,rat,oral,=,40,mg/kg,502.232,0.0001,4.0988,Broad spectrum,
,Chloroxylenol,,CC1=CC(=CC(=C1Cl)C)O,1615,,#¡REF!,254_PPDB,PPDB,,acute,,rat,oral,=,3830,mg/kg,156.611,0.0245,1.6116,"Causes disruption of cell membrane potentials, blocking production of adenosine triphosphate",
,"2,2-dibromo-3-nitrilopropionamide (Ref: XD 1603)",,C(#N)C(C(=O)N)(Br)Br,1618,,#¡REF!,255_PPDB,PPDB,,acute,,rat,oral,=,235,mg/kg,241.87,0.0010,3.0125,Broad spectrum antimicrobial activity,
,"2,4-dimethylphenol",,CC1=CC(=C(C=C1)O)C,1619,,#¡REF!,256_PPDB,PPDB,,acute,,rat,oral,=,242,mg/kg,122.166,0.0020,2.7031,Selective,
,Bis-trichloromethyl sulfone,,C(S(=O)(=O)C(Cl)(Cl)Cl)(Cl)(Cl)Cl,1621,,#¡REF!,257_PPDB,PPDB,,acute,,rat,oral,=,691,mg/kg,300.804,0.0023,2.6388,Broad spectrum,
,Pyraoxystrobin (Ref: SYP 3343),,CN1C(=CC(=N1)C2=CC=C(C=C2)Cl)OCC3=CC=CC=C3C(=COC)C(=O)OC,1657,,#¡REF!,262_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,412.872,#¡VALOR!,#¡VALOR!,Respiration inhibitor (QoL fungicide).,
,Tebufloquin,,CC1=C(C2=CC(=CC(=C2N=C1C)F)C(C)(C)C)OC(=O)C,1658,,#¡REF!,263_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,289.349,#¡VALOR!,#¡VALOR!,Protective and curative,
,Cycloheximide,,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C,1680,,#¡REF!,266_PPDB,PPDB,,acute,,rat,oral,=,133,mg/kg,281.351,0.0005,3.3254,A protein biosynthesis inhibitor,
,Tolfenpyrad (Ref: OMI 88),,CCC1=NN(C(=C1Cl)C(=O)NCC2=CC=C(C=C2)OC3=CC=C(C=C3)C)C,1687,,#¡REF!,267_PPDB,PPDB,,acute,,rat,oral,=,386,mg/kg,383.878,0.0010,2.9976,"Broad spectrum, contact activity, exhibits antifeedant activity especially against Lepidoptera. Mitochondrial complex I electron transport inhibitor.",
,Azithiram (Ref: PP 447),,CN(C)NC(=S)SSC(=S)NN(C)C,1693,,#¡REF!,268_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,270.469,#¡VALOR!,#¡VALOR!,"Broad spectrum, non-systemic with protective action",
,Lime sulphur,,[S-]SSS[S-].[Ca+2],1727,,#¡REF!,269_PPDB,PPDB,,acute,,rat,oral,=,1343,mg/kg,200.408,0.0067,2.1738,Acts by distrupting metabloslism but also utilises the fungicidal properties of elemental sulfur during its degradation and so acts as a protectant,
