Structure,Molecule name,CAS,SMILES,ID_DB_source,,ID_DB maestra,ID_concatenada,DB source,DB subsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,,Reference DB source,Source URL,ToxVal_ID,Chemical_ID
,2-Undecanone,112-12-9,CCCCCCCCCC(C)=O,DTXSID2021943,,34,34_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,2500,mg/kg,170.295,0.0147,1.8333,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928613,ToxVal00025_d8378d4d99fce26b
,Triazamate,112143-82-5,CCOC(CSc1nc(C(C)(C)C)n[n]1C(N(C)C)=O)=O,DTXSID5034307,,35,35_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>=,50,mg/kg,314.409,0.0002,3.7985,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928614,ToxVal00025_57a152516247682e
,Halofenozide,112226-61-6,CC(C)(C)N(C(c1ccccc1)=O)NC(c(cc1)ccc1Cl)=O,DTXSID4032619,,36,36_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,2850,mg/kg,330.814,0.0086,2.0647,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928615,ToxVal00025_0fdb7bfea342c79a
,Tetraconazole,112281-77-3,FC(C(OCC(C[n]1ncnc1)c(ccc(Cl)c1)c1Cl)(F)F)F,DTXSID8034956,,37,37_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,1031,mg/kg,372.148,0.0028,2.5575,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928616,ToxVal00025_ec922f20c2cbf598
,Tebufenozide,112410-23-8,CCc(cc1)ccc1C(NN(C(C)(C)C)C(c1cc(C)cc(C)c1)=O)=O,DTXSID4034948,,38,38_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,5000,mg/kg,352.476,0.0142,1.8482,,"Joint FAO/WHO Meeting on Pesticide Residues Report 1997b, 2004",https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928617,ToxVal00025_3c86e4d30c30f326
,Metolcarb,1129-41-5,Cc1cccc(OC(NC)=O)c1,DTXSID8057938,,39,39_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,268,mg/kg,165.191,0.0016,2.7899,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928618,ToxVal00025_e75f914cf3904d9b
,Octylbicycloheptenedicarboximide,113-48-4,CCCCC(CC)CN(C(C1C2C3C=CC1C3)=O)C2=O,DTXSID6032562,,40,40_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,2800,mg/kg,275.39,0.0102,1.9928,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928619,ToxVal00025_ec5e4c18f80a97fc
,Primisulfuron,113036-87-6,OC(c(cccc1)c1S(NC(Nc1nc(OC(F)F)cc(OC(F)F)n1)=O)(=O)=O)=O,DTXSID40150270,,41,41_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,5050,mg/kg,454.312,0.0111,1.9541,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928620,ToxVal00025_bd40752a68b68054
,Ethyl N-cyclohexyl-N-ethylthiolcarbamate,1134-23-2,,DTXSID6032356,,42,42_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,2000,mg/kg,,#¡DIV/0!,#¡DIV/0!,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928621,ToxVal00025_1f8f7b07f2ca851c
,Propoxur,114-26-1,CC(C)Oc(cccc1)c1OC(NC)=O,DTXSID7021948,,43,43_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,95,mg/kg,209.244,0.0005,3.3429,,WHO/FAO Report 25; International Chemical Safety Card 191; Joint FAO/WHO Meeting on Pesticide Residues Report 1990,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928622,ToxVal00025_530dc3497ad17b56
,"4-(4-Chlorophenyl)-2-phenyl-2-(1H-1,2,4-triazol-1-ylmethyl)butyronitrile",114369-43-6,N#CC(CCc(cc1)ccc1Cl)(C[n]1ncnc1)c1ccccc1,DTXSID8032548,,44,44_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,2000,mg/kg,336.825,0.0059,2.2264,,Joint FAO/WHO Meeting on Pesticide Residues Report 1998,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928623,ToxVal00025_bfd909c17a53c435
,Endosulfan,115-29-7,O=S(OCC1C(C2(Cl)Cl)(C(Cl)=C3Cl)Cl)OCC1C23Cl,DTXSID1020560,,45,45_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,80,mg/kg,406.928,0.0002,3.7064,,WHO/FAO Report 15; Environmental Health Criteria Monograph 40; Health and Safety Guide 17; International Chemical Safety Card 742; Joint FAO/WHO Meeting on Pesticide Residues Report 1999,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928624,ToxVal00025_e8e567408585ac18
,Dicofol,115-32-2,OC(C(Cl)(Cl)Cl)(c(cc1)ccc1Cl)c(cc1)ccc1Cl,DTXSID4020450,,46,46_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>=,690,mg/kg,370.489,0.0019,2.7299,,WHO/FAO Report 81; IARC 30; International Chemical Safety Card 752; Joint FAO/WHO Meeting on Pesticide Residues Report 1993,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928625,ToxVal00025_0ab4b30a10bfa819
,Chlorphonium chloride,115-78-6,CCCC[P+](CCCC)(CCCC)Cc(ccc(Cl)c1)c1Cl.[Cl-],DTXSID0041779,,47,47_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,178,mg/kg,397.796,0.0004,3.3492,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928626,ToxVal00025_caf2718eb9f1a6a8
,Aldicarb,116-06-3,CC(C)(/C=N/OC(NC)=O)SC,DTXSID0039223,,48,48_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,0.93,mg/kg,190.266,0.0000,5.3109,,"WHO/FAO Report 53; Environmental Health Criteria Monograph 121; Health and Safety Guide 64; IARC 53; International Chemical Safety Card 94; Joint FAO/WHO Meeting on Pesticide Residues Report 1993, 1996a",https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928627,ToxVal00025_c7be3e1a013286af
,Tetradifon,116-29-0,O=S(c(cc1)ccc1Cl)(c(c(Cl)c1)cc(Cl)c1Cl)=O,DTXSID7021316,,49,49_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,10000,mg/kg,356.056,0.0281,1.5515,,Environmental Health Criteria Monograph 67; Health and Safety Guide 11; International Chemical Safety Card 747,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928628,ToxVal00025_146ac0f4d3869950
,Bromuconazole,116255-48-2,Clc1cc(Cl)c(C(C[n]2ncnc2)(C2)OCC2Br)cc1,DTXSID9032531,,50,50_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,365,mg/kg,377.068,0.0010,3.0141,,International Chemical Safety Card 1264,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928629,ToxVal00025_196d2c54f0a59e6b
,Novaluron,116714-46-6,O=C(c(c(F)ccc1)c1F)NC(Nc(cc1)cc(Cl)c1OC(C(OC(F)(F)F)F)(F)F)=O,DTXSID5034773,,51,51_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,5000,mg/kg,492.705,0.0101,1.9936,,Joint FAO/WHO Meeting on Pesticide Residues Report 2006b,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928630,ToxVal00025_085806196c3e1749
,"2,3,5,6-Tetrachloronitrobenzene",117-18-0,[O-][N+](c(c(Cl)c(cc1Cl)Cl)c1Cl)=O,DTXSID0026098,,52,52_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,10000,mg/kg,260.891,0.0383,1.4165,,Environmental Health Criteria Monograph 42; Health and Safety Guide 12; Joint FAO/WHO Meeting on Pesticide Residues Report 1995b,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928631,ToxVal00025_9ae259e8cc4ce995
,Hexachlorobenzene,118-74-1,Clc(c(Cl)c(c(Cl)c1Cl)Cl)c1Cl,DTXSID2020682,,53,53_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,dermal,=,10000,mg/kg,284.784,0.0351,1.4545,,IARC 79; International Chemical Safety Card 895; Environmental Health Criteria Monograph 195,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928632,ToxVal00025_521596352a7d9140
,Spiroxamine,118134-30-8,CCCN(CC)CC1OC(CC2)(CCC2C(C)(C)C)OC1,DTXSID1034212,,54,54_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,500,mg/kg,297.481,0.0017,2.7745,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928633,ToxVal00025_f12cc06a31d72483
