Structure,Molecule name,CAS,SMILES,ID_DB_source,,ID_DB_maestra,ID_concatenda,DB source,DB subsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,,DB reference source,URL,,ToxVal_ ID,Chemical_ID
,Cycloxydim,101205-02-1,CCC/C(\C(C(CC(C1)C2CSCCC2)=O)=C1O)=N\OCC,DTXSID0057918,,60,60_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,>,2000,mg/kg-day,325.471,0.0061,2.2115,,Conclusion on the peer review of the pesticide risk assessment of the active substance cycloxydim 20100708,https://doi.org/doi:10.2903/j.efsa.2010.1669,,913577,ToxVal00035_73c56373ad033860
,Cycloxydim,101205-02-1,CCC/C(\C(C(CC(C1)C2CSCCC2)=O)=C1O)=N\OCC,DTXSID0057918,,61,61_EFSADB,EFSA,EFSA,short-term,eco,bobwhite quail,oral,=,496.8,mg/kg-day,325.471,0.0015,2.8163,,Conclusion on the peer review of the pesticide risk assessment of the active substance cycloxydim 20100708,https://doi.org/doi:10.2903/j.efsa.2010.1669,,913578,ToxVal00035_73c56373ad033860
,"(R)-N,N-Diethyl-2-(1-naphthyloxy)propionamide",41643-35-0,CCN(CC)C([C@@H](C)Oc1cccc2ccccc12)=O,DTXSID60194459,,62,62_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,110,ug/piece,271.359,0.0004,3.3922,,Peer review of the pesticide risk assessment of the active substance napropamide-M 20181112,https://doi.org/doi:10.2903/j.efsa.2018.5465,,913590,ToxVal00035_8fe115b4b3a05d20
,"(R)-N,N-Diethyl-2-(1-naphthyloxy)propionamide",41643-35-0,CCN(CC)C([C@@H](C)Oc1cccc2ccccc12)=O,DTXSID60194459,,63,63_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,110,ug/piece,271.359,0.0004,3.3922,,Peer review of the pesticide risk assessment of the active substance napropamide-M 20181112,https://doi.org/doi:10.2903/j.efsa.2018.5465,,913591,ToxVal00035_8fe115b4b3a05d20
,Metamitron,41394-05-2,CC(N1N)=NN=C(c2ccccc2)C1=O,DTXSID7047568,,64,64_EFSADB,EFSA,EFSA,acute,human health,rat,oral,=,4325,mg/kg-day,202.216,0.0214,1.6698,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance metamitron 20081022,https://doi.org/doi:10.2903/j.efsa.2008.185r,,913596,ToxVal00035_531b685ffdb1821b
,"1-Amino-2,6-dichloro-4-nitrobenzene",99-30-9,Nc(c(Cl)cc([N+]([O-])=O)c1)c1Cl,DTXSID2020426,,65,65_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,=,900,mg/kg-day,207.016,0.0043,2.3618,,Conclusion on the peer review of the pesticide risk assessment of the active substance dicloran 20100803,https://doi.org/doi:10.2903/j.efsa.2010.1698,,913611,ToxVal00035_a5c3db1a3c0b67e6
,Diflubenzuron,35367-38-5,O=C(c(c(F)ccc1)c1F)NC(Nc(cc1)ccc1Cl)=O,DTXSID1024049,,66,66_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,0.05,ug/piece,310.686,0.0000,6.7934,,Peer review of the pesticide risk assessment of the active substance diflubenzuron 20090727,https://doi.org/doi:10.2903/j.efsa.2009.332r,,913758,ToxVal00035_1db9d30898e85739
,Diphenylamine,122-39-4,c(cc1)ccc1Nc1ccccc1,DTXSID4021975,,67,67_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,>,2250,mg/kg-day,169.226,0.0133,1.8763,,Conclusion on the peer review of the pesticide risk assessment of the active substance diphenylamine 20120125,https://doi.org/doi:10.2903/j.efsa.2012.2486,,913791,ToxVal00035_02481fbc0f6bd396
,Thiamethoxam,153719-23-4,CN(COCN1Cc([s]2)cnc2Cl)/C\1=N/[N+]([O-])=O,DTXSID2034962,,68,68_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,0.00936,ug/piece,291.718,0.0000,7.4937,,Conclusion on the peer review of the pesticide risk assessment for bees for the active substance thiamethoxam 20130116,https://doi.org/doi:10.2903/j.efsa.2013.3067,,913807,ToxVal00035_527cd13f59da8c0b
,Prothioconazole,178928-70-6,OC(Cc(cccc1)c1Cl)(CN1N=CNC1=S)C1(CC1)Cl,DTXSID4034869,,69,69_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,2500,mg/kg-day,344.265,0.0073,2.1390,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance prothioconazole 20070801,https://doi.org/doi:10.2903/j.efsa.2007.106r,,913812,ToxVal00035_77aabfccaa1b5c70
,Emamectin B1B,121424-52-0,CC(C)[C@H]([C@@H](C)C=C1)O[C@]1(C[C@H](C1)OC([C@@H]([C@@]([C@@H]2OC3)(/C\3=C/C=C/[C@@H]3C)O)C=C(C)[C@H]2O)=O)O[C@@H]1C/C=C(\C)/[C@H]3O[C@@H](C[C@@H]1OC)O[C@@H](C)[C@@H]1O[C@@H](C[C@@H]1OC)O[C@@H](C)[C@H]1NC,DTXSID80153265,,70,70_EFSADB,EFSA,EFSA,acute,human health,rat,oral,=,73,mg/kg-day,872.102,0.0001,4.0772,,Conclusion on the peer review of the pesticide risk assessment of the active substance emamectin 20121121,https://doi.org/doi:10.2903/j.efsa.2012.2955,,913819,ToxVal00035_b48eb63900f4d7e9
,Emamectin B1A,121124-29-6,CC[C@H](C)[C@H]([C@@H](C)C=C1)O[C@]1(C[C@H](C1)OC([C@@H]([C@@]([C@@H]2OC3)(/C\3=C/C=C/[C@@H]3C)O)C=C(C)[C@H]2O)=O)O[C@@H]1C/C=C(\C)/[C@H]3O[C@@H](C[C@@H]1OC)O[C@@H](C)[C@@H]1O[C@@H](C[C@@H]1OC)O[C@@H](C)[C@@H]1NC,DTXSID80153164,,71,71_EFSADB,EFSA,EFSA,acute,human health,rat,oral,=,73,mg/kg-day,886.129,0.0001,4.0842,,Conclusion on the peer review of the pesticide risk assessment of the active substance emamectin 20121121,https://doi.org/doi:10.2903/j.efsa.2012.2955,,913820,ToxVal00035_dc95dc869e028d60
,Ethametsulfuron-methyl,97780-06-8,CCOc1nc(NC)nc(NC(NS(c(cccc2)c2C(OC)=O)(=O)=O)=O)n1,DTXSID9034573,,72,72_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,40.83,ug/piece,410.41,0.0001,4.0022,,Conclusion on the peer review of the pesticide risk assessment of the active substance ethametsulfuron (evaluated variant ethametsulfuron-methyl). 20140106,https://doi.org/doi:10.2903/j.efsa.2014.3508,,913849,ToxVal00035_824521dffa6f8425
,Famoxadone,131807-57-3,CC(C(N1Nc2ccccc2)=O)(c(cc2)ccc2Oc2ccccc2)OC1=O,DTXSID8034588,,73,73_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,63,ug/piece,374.395,0.0002,3.7740,,Conclusion on the peer review of the pesticide risk assessment of the active substance famoxadone 20150716,https://doi.org/doi:10.2903/j.efsa.2015.4194,,913862,ToxVal00035_64fb5f51355b8e5c
,"4-(4-Chlorophenyl)-2-phenyl-2-(1H-1,2,4-triazol-1-ylmethyl)butyronitrile",114369-43-6,N#CC(CCc(cc1)ccc1Cl)(C[n]1ncnc1)c1ccccc1,DTXSID8032548,,74,74_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,5.2,ug/piece,336.825,0.0000,4.8114,,Conclusion on the peer review of the pesticide risk assessment of the active substance fenbuconazole 20100413,https://doi.org/doi:10.2903/j.efsa.2010.1558,,913873,ToxVal00035_bfd909c17a53c435
,"4-(4-Chlorophenyl)-2-phenyl-2-(1H-1,2,4-triazol-1-ylmethyl)butyronitrile",114369-43-6,N#CC(CCc(cc1)ccc1Cl)(C[n]1ncnc1)c1ccccc1,DTXSID8032548,,75,75_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,5.5,ug/piece,336.825,0.0000,4.7870,,Conclusion on the peer review of the pesticide risk assessment of the active substance fenbuconazole 20100413,https://doi.org/doi:10.2903/j.efsa.2010.1558,,913875,ToxVal00035_bfd909c17a53c435
,Fenitrothion,122-14-5,Cc(cc(cc1)OP(OC)(OC)=S)c1[N+]([O-])=O,DTXSID4032613,,76,76_EFSADB,EFSA,EFSA,acute,human health,rat,oral,=,330,mg/kg-day,277.236,0.0012,2.9243,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance fenitrothion 20060222,https://doi.org/doi:10.2903/j.efsa.2006.59r,,913876,ToxVal00035_59a38b00300f596c
,Flazasulfuron,104040-78-0,COc1nc(NC(NS(c2ncccc2C(F)(F)F)(=O)=O)=O)nc(OC)c1,DTXSID3034610,,77,77_EFSADB,EFSA,EFSA,acute,eco,bird,oral,=,2121,mg/kg-day,407.328,0.0052,2.2834,,Peer review of the pesticide risk assessment of the active substance flazasulfuron 20160830,https://doi.org/doi:10.2903/j.efsa.2016.4575,,913878,ToxVal00035_de2fdd0166e83046
,Flazasulfuron,104040-78-0,COc1nc(NC(NS(c2ncccc2C(F)(F)F)(=O)=O)=O)nc(OC)c1,DTXSID3034610,,78,78_EFSADB,EFSA,EFSA,acute,eco,japanese quail,oral,=,995,mg/kg-day,407.328,0.0024,2.6121,,Peer review of the pesticide risk assessment of the active substance flazasulfuron 20160830,https://doi.org/doi:10.2903/j.efsa.2016.4575,,913888,ToxVal00035_de2fdd0166e83046
,Flazasulfuron,104040-78-0,COc1nc(NC(NS(c2ncccc2C(F)(F)F)(=O)=O)=O)nc(OC)c1,DTXSID3034610,,79,79_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,46.3,ug/piece,407.328,0.0001,3.9444,,Peer review of the pesticide risk assessment of the active substance flazasulfuron 20160830,https://doi.org/doi:10.2903/j.efsa.2016.4575,,913889,ToxVal00035_de2fdd0166e83046
,Flazasulfuron,104040-78-0,COc1nc(NC(NS(c2ncccc2C(F)(F)F)(=O)=O)=O)nc(OC)c1,DTXSID3034610,,80,80_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,25.9,ug/piece,407.328,0.0001,4.1966,,Peer review of the pesticide risk assessment of the active substance flazasulfuron 20160830,https://doi.org/doi:10.2903/j.efsa.2016.4575,,913890,ToxVal00035_de2fdd0166e83046
,Flonicamid,158062-67-0,N#CCNC(c1c(C(F)(F)F)ccnc1)=O,DTXSID8034611,,81,81_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,51.1,ug/piece,229.161,0.0002,3.6517,,Conclusion on the peer review of the pesticide risk assessment of the active substance flonicamid 20100507,https://doi.org/doi:10.2903/j.efsa.2010.1445,,913896,ToxVal00035_53b023fed182d739
,Calcium carbonate,471-34-1,[O-]C([O-])=O.[Ca+2],DTXSID3036238,,82,82_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,337,ug/piece,100.086,0.0034,2.4727,,Peer review of the pesticide risk assessment of the active substance calcium carbonate 20210408,https://doi.org/doi:10.2903/j.efsa.2021.6500,,913897,ToxVal00035_fa02e9081e7bc2b6
,Calcium carbonate,471-34-1,[O-]C([O-])=O.[Ca+2],DTXSID3036238,,83,83_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,343,ug/piece,100.086,0.0034,2.4651,,Peer review of the pesticide risk assessment of the active substance calcium carbonate 20210408,https://doi.org/doi:10.2903/j.efsa.2021.6500,,913898,ToxVal00035_fa02e9081e7bc2b6
,Triglyceride of palmitic acid,-,,NODTXSID,,84,84_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,63,ug/piece,,#¡DIV/0!,#¡DIV/0!,,Conclusion on the peer review of the pesticide risk assessment of the active substance repellent by smell of animal or plant origin/sheep fat 20120127,https://doi.org/doi:10.2903/j.efsa.2012.2525,,913915,ToxVal00035_39c712ca993df899
,Triglyceride of stearic acid,-,,NODTXSID,,85,85_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,63,ug/piece,,#¡DIV/0!,#¡DIV/0!,,Conclusion on the peer review of the pesticide risk assessment of the active substance repellent by smell of animal or plant origin/sheep fat 20120127,https://doi.org/doi:10.2903/j.efsa.2012.2525,,913916,ToxVal00035_de3b131ba571ffd2
,Triglyceride of oleic acid,-,,NODTXSID,,86,86_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,63,ug/piece,,#¡DIV/0!,#¡DIV/0!,,Conclusion on the peer review of the pesticide risk assessment of the active substance repellent by smell of animal or plant origin/sheep fat 20120127,https://doi.org/doi:10.2903/j.efsa.2012.2525,,913917,ToxVal00035_6bc799057507e124
,Foramsulfuron,173159-57-4,CN(C)C(c(ccc(NC=O)c1)c1S(NC(Nc1nc(OC)cc(OC)n1)=O)(=O)=O)=O,DTXSID7034753,,87,87_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,5,ug/piece,452.447,0.0000,4.9566,,Peer review of the pesticide risk assessment of the active substance foramsulfuron 20160310,https://doi.org/doi:10.2903/j.efsa.2016.4421,,913918,ToxVal00035_6bfbaf6bf94713f3
,Foramsulfuron,173159-57-4,CN(C)C(c(ccc(NC=O)c1)c1S(NC(Nc1nc(OC)cc(OC)n1)=O)(=O)=O)=O,DTXSID7034753,,88,88_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,4.66,ug/piece,452.447,0.0000,4.9872,,Peer review of the pesticide risk assessment of the active substance foramsulfuron 20160310,https://doi.org/doi:10.2903/j.efsa.2016.4421,,913919,ToxVal00035_6bfbaf6bf94713f3
,Dimoxystrobin,149961-52-4,Cc1cc(OCc(cccc2)c2/C(\C(NC)=O)=N\OC)c(C)cc1,DTXSID3057981,,89,89_EFSADB,EFSA,EFSA,acute,human health,rat,oral,=,188.9,mg/kg,326.395,0.0006,3.2375,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance dimoxystrobin 20050831,https://doi.org/doi:10.2903/j.efsa.2005.46r,,913923,ToxVal00035_f1cdc93769d70c77
,Fenoxycarb,72490-01-8,CCOC(NCCOc(cc1)ccc1Oc1ccccc1)=O,DTXSID7032393,,90,90_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,204,ug/piece,301.341,0.0007,3.1694,,Conclusion on the peer review of the pesticide risk assessment of the active substance fenoxycarb 20101214,https://doi.org/doi:10.2903/j.efsa.2010.1779,,913925,ToxVal00035_1108cf74143df641
,Thiamethoxam,153719-23-4,CN(COCN1Cc([s]2)cnc2Cl)/C\1=N/[N+]([O-])=O,DTXSID2034962,,91,91_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,0.00631,ug/piece,291.718,0.0000,7.6649,,Conclusion on the peer review of the pesticide risk assessment of postapproval data submitted for the active substance thiamethoxam 20120312,https://doi.org/doi:10.2903/j.efsa.2012.2601,,913953,ToxVal00035_527cd13f59da8c0b
,Thiamethoxam,153719-23-4,CN(COCN1Cc([s]2)cnc2Cl)/C\1=N/[N+]([O-])=O,DTXSID2034962,,92,92_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,0.000555,g/m2,291.718,0.0000,8.7207,,Conclusion on the peer review of the pesticide risk assessment of postapproval data submitted for the active substance thiamethoxam 20120312,https://doi.org/doi:10.2903/j.efsa.2012.2601,,913954,ToxVal00035_527cd13f59da8c0b
,Acetic acid,64-19-7,CC(O)=O,DTXSID5024394,,93,93_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,110,ug/piece,60.0518,0.0018,2.7371,,Conclusion on the peer review of the pesticide risk assessment of the active substance acetic acid 20130125,https://doi.org/doi:10.2903/j.efsa.2013.3060,,913975,ToxVal00035_79c3b63c956929a5
,Acetic acid,64-19-7,CC(O)=O,DTXSID5024394,,94,94_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,96,ug/piece,60.0518,0.0016,2.7963,,Conclusion on the peer review of the pesticide risk assessment of the active substance acetic acid 20130125,https://doi.org/doi:10.2903/j.efsa.2013.3060,,913976,ToxVal00035_79c3b63c956929a5
,Ethametsulfuron-methyl,97780-06-8,CCOc1nc(NC)nc(NC(NS(c(cccc2)c2C(OC)=O)(=O)=O)=O)n1,DTXSID9034573,,95,95_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,40.83,ug/piece,410.41,0.0001,4.0022,,Conclusion on the peer review of the pesticide risk assessment of the active substance ethametsulfuron (evaluated variant ethametsulfuron-methyl) 20140721,https://doi.org/doi:10.2903/j.efsa.2014.3787,,913999,ToxVal00035_824521dffa6f8425
,Ethametsulfuron-methyl,97780-06-8,CCOc1nc(NC)nc(NC(NS(c(cccc2)c2C(OC)=O)(=O)=O)=O)n1,DTXSID9034573,,96,96_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,4.62,ug/piece,410.41,0.0000,4.9486,,Conclusion on the peer review of the pesticide risk assessment of the active substance ethametsulfuron (evaluated variant ethametsulfuron-methyl) 20140721,https://doi.org/doi:10.2903/j.efsa.2014.3787,,914000,ToxVal00035_824521dffa6f8425
,Flupyrsulfuron-methyl sodium,144740-54-5,COC(c1ccc(C(F)(F)F)nc1S([N-]C(Nc1nc(OC)cc(OC)n1)=O)(=O)=O)=O.[Na+],DTXSID9058311,,97,97_EFSADB,EFSA,EFSA,acute,human health,rat,-,>,2500,mg/kg-day,487.346,0.0051,2.2899,,Conclusion on the peer review of the pesticide risk assessment of the active substance flupyrsulfuron (variant evaluated flupyrsulfuron-methyl-sodium) 20141106,https://doi.org/doi:10.2903/j.efsa.2014.3881,,914008,ToxVal00035_73fb3b24b37a2aed
,Flupyrsulfuron-methyl sodium,144740-54-5,COC(c1ccc(C(F)(F)F)nc1S([N-]C(Nc1nc(OC)cc(OC)n1)=O)(=O)=O)=O.[Na+],DTXSID9058311,,98,98_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,119,ug/piece,487.346,0.0002,3.6123,,Conclusion on the peer review of the pesticide risk assessment of the active substance flupyrsulfuron (variant evaluated flupyrsulfuron-methyl-sodium) 20141106,https://doi.org/doi:10.2903/j.efsa.2014.3881,,914009,ToxVal00035_73fb3b24b37a2aed
,Flupyrsulfuron-methyl sodium,144740-54-5,COC(c1ccc(C(F)(F)F)nc1S([N-]C(Nc1nc(OC)cc(OC)n1)=O)(=O)=O)=O.[Na+],DTXSID9058311,,99,99_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,250,ug/piece,487.346,0.0005,3.2899,,Conclusion on the peer review of the pesticide risk assessment of the active substance flupyrsulfuron (variant evaluated flupyrsulfuron-methyl-sodium) 20141106,https://doi.org/doi:10.2903/j.efsa.2014.3881,,914010,ToxVal00035_73fb3b24b37a2aed
,Oxydemeton-methyl,301-12-2,CCS(CCSP(OC)(OC)=O)=O,DTXSID8025541,,100,100_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,0.2,ug/piece,246.287,0.0000,6.0904,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance oxydemeton-methyl 20060728,https://doi.org/doi:10.2903/j.efsa.2006.86r,,914029,ToxVal00035_3cf5bb3a23343fd0
,Oxydemeton-methyl,301-12-2,CCS(CCSP(OC)(OC)=O)=O,DTXSID8025541,,101,101_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,0.175,ug/piece,246.287,0.0000,6.1484,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance oxydemeton-methyl 20060728,https://doi.org/doi:10.2903/j.efsa.2006.86r,,914030,ToxVal00035_3cf5bb3a23343fd0
,Trinexapac-ethyl,95266-40-3,CCOC(C(CC(C1=C(C2CC2)O)=O)CC1=O)=O,DTXSID9032535,,102,102_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,108,ug/piece,252.265,0.0004,3.3684,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance trinexapac 20060110,https://doi.org/doi:10.2903/j.efsa.2006.57r,,914032,ToxVal00035_d5645d8c2e06848c
,Trinexapac-ethyl,95266-40-3,CCOC(C(CC(C1=C(C2CC2)O)=O)CC1=O)=O,DTXSID9032535,,103,103_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,69.6,ug/piece,252.265,0.0003,3.5592,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance trinexapac 20060110,https://doi.org/doi:10.2903/j.efsa.2006.57r,,914033,ToxVal00035_d5645d8c2e06848c
,Prosulfuron,94125-34-5,Cc1nc(NC(NS(c2c(CCC(F)(F)F)cccc2)(=O)=O)=O)nc(OC)n1,DTXSID9034868,,104,104_EFSADB,EFSA,EFSA,acute,human health,rat,-,>,755,mg/kg,419.383,0.0018,2.7447,,Conclusion on the peer review of the pesticide risk assessment of the active substance prosulfuron 20140902,https://doi.org/doi:10.2903/j.efsa.2014.3815,,914058,ToxVal00035_6fcbab3242ab92b1
,Pyriproxyfen,95737-68-1,CC(COc(cc1)ccc1Oc1ccccc1)Oc1ncccc1,DTXSID1032640,,105,105_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,74,ug/piece,321.375,0.0002,3.6378,,Conclusion on the peer review of the pesticide risk assessment of confirmatory data submitted for the active substance pyriproxyfen 20140821,https://doi.org/doi:10.2903/j.efsa.2014.3813,,914070,ToxVal00035_85cb3bf8cca2a030
,Benthiavalicarb-isopropyl,177406-68-7,CC(C)[C@@H](C(N[C@H](C)c1nc(ccc(F)c2)c2[s]1)=O)NC(OC(C)C)=O,DTXSID9058232,,106,106_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,100,ug/piece,381.471,0.0003,3.5815,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance benthiavalicarb 20070801,https://doi.org/doi:10.2903/j.efsa.2007.107r,,914098,ToxVal00035_31df91a0f69c15b8
,Mepanipyrim,110235-47-7,Cc1nc(Nc2ccccc2)nc(C#CC)c1,DTXSID4042121,,107,107_EFSADB,EFSA,EFSA,acute,human health,mouse,oral,>,2650,mg/kg-day,223.278,0.0119,1.9256,,Peer review of the pesticide risk assessment of the active substance mepanipyrim 20170613,https://doi.org/doi:10.2903/j.efsa.2017.4852,,914099,ToxVal00035_8a93b548953687ca
,Mepanipyrim,110235-47-7,Cc1nc(Nc2ccccc2)nc(C#CC)c1,DTXSID4042121,,108,108_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,2650,mg/kg-day,223.278,0.0119,1.9256,,Peer review of the pesticide risk assessment of the active substance mepanipyrim 20170613,https://doi.org/doi:10.2903/j.efsa.2017.4852,,914100,ToxVal00035_8a93b548953687ca
,Mepanipyrim,110235-47-7,Cc1nc(Nc2ccccc2)nc(C#CC)c1,DTXSID4042121,,109,109_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,80,ug/piece,223.278,0.0004,3.4458,,Peer review of the pesticide risk assessment of the active substance mepanipyrim 20170613,https://doi.org/doi:10.2903/j.efsa.2017.4852,,914101,ToxVal00035_8a93b548953687ca
,Prothioconazole,178928-70-6,OC(Cc(cccc1)c1Cl)(CN1N=CNC1=S)C1(CC1)Cl,DTXSID4034869,,110,110_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,2500,mg/kg-day,344.265,0.0073,2.1390,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance prothioconazole 20070801,https://doi.org/doi:10.2903/j.efsa.2007.106r,,914104,ToxVal00035_77aabfccaa1b5c70
,Zeta-cypermethrin,-,CC(C)(C1C=C(Cl)Cl)C1C(OC(c1cc(Oc2ccccc2)ccc1)C#N)=O,NODTXSID,,111,111_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,0.002,ug/piece,416.303,0.0000,8.3184,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance zeta-cypermethrin. 20090115,https://doi.org/doi:10.2903/j.efsa.2009.196r,,914124,ToxVal00035_51178218ab09dddf
,Malathion,121-75-5,CCOC(CC(C(OCC)=O)SP(OC)(OC)=S)=O,DTXSID4020791,,112,112_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,0.16,ug/piece,330.361,0.0000,6.3149,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance malathion 20060320,https://doi.org/doi:10.2903/j.efsa.2006.63r,,914130,ToxVal00035_4bdcc06a711cfd64
,Malathion,121-75-5,CCOC(CC(C(OCC)=O)SP(OC)(OC)=S)=O,DTXSID4020791,,113,113_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,0.16,ug/piece,330.361,0.0000,6.3149,,Peer review of the pesticide risk assessment of the active substance malathion 20090728,https://doi.org/doi:10.2903/j.efsa.2009.333r,,914131,ToxVal00035_4bdcc06a711cfd64
,Triclopyr 2-butoxyethyl ester,64700-56-7,CCCCOCCOC(COc(nc(c(Cl)c1)Cl)c1Cl)=O,DTXSID5032579,,114,114_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,100,ug/piece,356.632,0.0003,3.5522,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance triclopyr 20060119,https://doi.org/doi:10.2903/j.efsa.2006.56r,,914154,ToxVal00035_3f8c8bf61ab72089
,Spinetoram,935545-74-7,CC[C@@H](CCC[C@@H]([C@@H](C)C(C1=C[C@@H]([C@H](C[C@@H](C2)O[C@H]([C@@H]([C@H]3OCC)OC)O[C@@H](C)[C@@H]3OC)[C@@H]2CC2)[C@@H]2[C@@H]1C1)=O)O[C@@H](CC2)O[C@H](C)[C@H]2N(C)C)OC1=O,DTXSID3058614,,115,115_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,>,2250,mg/kg-day,748.007,0.0030,2.5217,,Conclusion on the peer review of the pesticide risk assessment of the active substance spinetoram. 20130508,https://doi.org/doi:10.2903/j.efsa.2013.3220,,914159,ToxVal00035_a793bf9708b766fb
,Dinocap,39300-45-3,,DTXSID3040352,,116,116_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,84.8,ug/piece,,#¡DIV/0!,#¡DIV/0!,,"Conclusion on the peer review of the pesticide risk assessment of the active substance DE-126, referred to as meptyldinocap in Commission Decision 2006/589/EC. 20140103",https://doi.org/doi:10.2903/j.efsa.2014.3473,,914163,ToxVal00035_2775367cc23f07ac
,"2-(1-Methylheptyl)-4,6-dinitrophenyl crotonate",6119-92-2,CCCCCCC(C)c1cc([N+]([O-])=O)cc([N+]([O-])=O)c1OC(/C=C/C)=O,DTXSID7021732,,117,117_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,84.8,ug/piece,364.397,0.0002,3.6332,,"Conclusion on the peer review of the pesticide risk assessment of the active substance DE-126, referred to as meptyldinocap in Commission Decision 2006/589/EC. 20140103",https://doi.org/doi:10.2903/j.efsa.2014.3473,,914164,ToxVal00035_252a0aa310ab7eea
,Dinocap,39300-45-3,,DTXSID3040352,,118,118_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,90,ug/piece,,#¡DIV/0!,#¡DIV/0!,,"Conclusion on the peer review of the pesticide risk assessment of the active substance DE-126, referred to as meptyldinocap in Commission Decision 2006/589/EC. 20140103",https://doi.org/doi:10.2903/j.efsa.2014.3473,,914165,ToxVal00035_2775367cc23f07ac
,"2-(1-Methylheptyl)-4,6-dinitrophenyl crotonate",6119-92-2,CCCCCCC(C)c1cc([N+]([O-])=O)cc([N+]([O-])=O)c1OC(/C=C/C)=O,DTXSID7021732,,119,119_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,90,ug/piece,364.397,0.0002,3.6073,,"Conclusion on the peer review of the pesticide risk assessment of the active substance DE-126, referred to as meptyldinocap in Commission Decision 2006/589/EC. 20140103",https://doi.org/doi:10.2903/j.efsa.2014.3473,,914166,ToxVal00035_252a0aa310ab7eea
