Structure,Molecule name,CAS,SMILES,ID_DB_source,,ID_DB_maestra,ID_concatenda,DB source,DB subsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,,DB reference source,URL,,ToxVal_ ID,Chemical_ID
,Copper hydroxide (Cu(OH)2),20427-59-2,O.O.[Cu],DTXSID6034473,,47,47_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,44.46,ug/piece,99.5758,0.0004,3.3502,,"Peer review of the pesticide risk assessment of the active substance copper compounds copper(I), copper(II) variants namely copper hydroxide, copper oxychloride, tribasic copper sulfate, copper(I) oxide, Bordeaux mixture 20180116",https://doi.org/doi:10.2903/j.efsa.2018.5152,,913475,ToxVal00035_539b6c04803ffda2
,Pyrethrin I,121-21-1,CC(C)([C@@H]1C=C(C)C)[C@@H]1C(O[C@@H](C1)C(C)=C(C/C=C\C=C)C1=O)=O,DTXSID4034499,,48,48_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,0.95,ug/piece,328.45,0.0000,5.5387,,Conclusion on the peer review of the pesticide risk assessment of the active substance pyrethrins 20130109,https://doi.org/doi:10.2903/j.efsa.2013.3032,,913482,ToxVal00035_1247e3a07db2c7c2
,Cinerin I,25402-06-6,CC(C)([C@@H]1C=C(C)C)[C@@H]1C(O[C@@H](C1)C(C)=C(C/C=C\C)C1=O)=O,DTXSID4041787,,49,49_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,0.95,ug/piece,316.439,0.0000,5.5226,,Conclusion on the peer review of the pesticide risk assessment of the active substance pyrethrins 20130109,https://doi.org/doi:10.2903/j.efsa.2013.3032,,913483,ToxVal00035_761858e70c88d020
,Jasmolin I,4466-14-2,CC/C=C\CC(C(C1)=O)=C(C)[C@H]1OC([C@H]1C(C)(C)[C@@H]1C=C(C)C)=O,DTXSID5042081,,50,50_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,0.95,ug/piece,330.466,0.0000,5.5414,,Conclusion on the peer review of the pesticide risk assessment of the active substance pyrethrins 20130109,https://doi.org/doi:10.2903/j.efsa.2013.3032,,913484,ToxVal00035_d16e691cf1c290ec
,Pyrethrin II,121-29-9,C/C(\C(OC)=O)=C\[C@@H](C1)[C@H]1C(O[C@@H](C1)C(C)=C(C/C=C\C=C)C1=O)=O,DTXSID2042353,,51,51_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,0.95,ug/piece,344.406,0.0000,5.5593,,Conclusion on the peer review of the pesticide risk assessment of the active substance pyrethrins 20130109,https://doi.org/doi:10.2903/j.efsa.2013.3032,,913485,ToxVal00035_1e6e5f9515610be3
,Cinerin II,121-20-0,CC(C)([C@@H]1/C=C(\C)/C(OC)=O)[C@@H]1C(O[C@@H](C1)C(C)=C(C/C=C\C)C1=O)=O,DTXSID9041788,,52,52_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,0.95,ug/piece,360.448,0.0000,5.5791,,Conclusion on the peer review of the pesticide risk assessment of the active substance pyrethrins 20130109,https://doi.org/doi:10.2903/j.efsa.2013.3032,,913486,ToxVal00035_a52afc443e472c2b
,Jasmolin II,1172-63-0,CC/C=C\CC(C(C1)=O)=C(C)[C@H]1OC([C@H]1C(C)(C)[C@@H]1/C=C(\C)/C(OC)=O)=O,DTXSID0042082,,53,53_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,0.95,ug/piece,374.475,0.0000,5.5957,,Conclusion on the peer review of the pesticide risk assessment of the active substance pyrethrins 20130109,https://doi.org/doi:10.2903/j.efsa.2013.3032,,913487,ToxVal00035_a6d565ff79e4a046
,Ipconazole,125225-28-7,CC(C)C(CCC1Cc(cc2)ccc2Cl)C1(C[n]1ncnc1)O,DTXSID7034674,,54,54_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,2000,mg/kg,333.862,0.0060,2.2225,,Conclusion on the peer review of the pesticide risk assessment of the active substance ipconazole. 20130409,https://doi.org/doi:10.2903/j.efsa.2013.3181,,913494,ToxVal00035_8538f474563eb6e8
,Cyanamide,420-04-2,NC#N,DTXSID9034490,,55,55_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,10,ug/piece,42.0409,0.0002,3.6237,,Conclusion on the peer review of the pesticide risk assessment of the active substance cyanamide 20101108,https://doi.org/doi:10.2903/j.efsa.2010.1873,,913568,ToxVal00035_48867f281e32d1f6
,"4-Chloro-2-cyano-N,N-dimethyl-5-(4-methylphenyl)-1H-imidazole-1-sulfonamide",120116-88-3,Cc(cc1)ccc1-c([n](c(C#N)n1)S(N(C)C)(=O)=O)c1Cl,DTXSID9034492,,56,56_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,31.8,ug/piece,324.791,0.0001,4.0092,,Peer review of the pesticide risk assessment of the active substance cyazofamid 20160615,https://doi.org/doi:10.2903/j.efsa.2016.4503,,913569,ToxVal00035_b92121617e4462f8
,"4-Chloro-2-cyano-N,N-dimethyl-5-(4-methylphenyl)-1H-imidazole-1-sulfonamide",120116-88-3,Cc(cc1)ccc1-c([n](c(C#N)n1)S(N(C)C)(=O)=O)c1Cl,DTXSID9034492,,57,57_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,9.52,ug/piece,324.791,0.0000,4.5330,,Peer review of the pesticide risk assessment of the active substance cyazofamid 20160615,https://doi.org/doi:10.2903/j.efsa.2016.4503,,913570,ToxVal00035_b92121617e4462f8
,"4-Chloro-2-cyano-N,N-dimethyl-5-(4-methylphenyl)-1H-imidazole-1-sulfonamide",120116-88-3,Cc(cc1)ccc1-c([n](c(C#N)n1)S(N(C)C)(=O)=O)c1Cl,DTXSID9034492,,58,58_EFSADB,EFSA,EFSA PPR,acute,eco,honey bee,oral,>,31.8,ug/piece,324.791,0.0001,4.0092,,Updated peer review of the pesticide risk assessment of the active substance cyazofamid 20200904,https://doi.org/doi:10.2903/j.efsa.2020.6232,,913573,ToxVal00035_b92121617e4462f8
,"4-Chloro-2-cyano-N,N-dimethyl-5-(4-methylphenyl)-1H-imidazole-1-sulfonamide",120116-88-3,Cc(cc1)ccc1-c([n](c(C#N)n1)S(N(C)C)(=O)=O)c1Cl,DTXSID9034492,,59,59_EFSADB,EFSA,EFSA PPR,acute,eco,honey bee,dermal,=,9.52,ug/piece,324.791,0.0000,4.5330,,Updated peer review of the pesticide risk assessment of the active substance cyazofamid 20200904,https://doi.org/doi:10.2903/j.efsa.2020.6232,,913574,ToxVal00035_b92121617e4462f8
