Structure,Molecule name,CAS,SMILES,ID_DB_source,,ID_DB_maestra,ID_concatenado,DB source,DB subsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,Reference DB source,URL,ToxVal_ID,Chemical_ID
,4-Methyl-2-pentanone,108-10-1,CC(C)CC(C)=O,DTXSID5021889,,217,217_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,2670,mg/kg,100.16,0.0267,1.5742,EFSA Group 07 Rev 5 Acute Toxicity Data Tanii et al. (1986) Tanii et al. (1986),http://www.efsa.europa.eu/en/topics/topic/flavourings,60194,ToxVal00036_34b4b92934156f72
,4-Methyl-2-pentanone,108-10-1,CC(C)CC(C)=O,DTXSID5021889,,218,218_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,1200,mg/kg,100.16,0.0120,1.9215,EFSA Group 07 Rev 5 Acute Toxicity Data McOmie and Anderson (1949) McOmie and Anderson (1949),http://www.efsa.europa.eu/en/topics/topic/flavourings,60195,ToxVal00036_34b4b92934156f72
,4-Methyl-2-pentanol,108-11-2,CC(C)CC(C)O,DTXSID2026781,,219,219_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,2590,mg/kg,102.176,0.0253,1.5960,EFSA Group 07 Rev 5 Acute Toxicity Data Smyth et al. (1951) Smyth et al. (1951),http://www.efsa.europa.eu/en/topics/topic/flavourings,60196,ToxVal00036_a2ee25069eb0a027
,4-Methyl-2-pentanol,108-11-2,CC(C)CC(C)O,DTXSID2026781,,220,220_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,1500,mg/kg,102.176,0.0147,1.8333,EFSA Group 07 Rev 5 Acute Toxicity Data McOmie and Anderson (1949) McOmie and Anderson (1949),http://www.efsa.europa.eu/en/topics/topic/flavourings,60197,ToxVal00036_a2ee25069eb0a027
,4-Methyl-2-pentanol,108-11-2,CC(C)CC(C)O,DTXSID2026781,,221,221_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,6700,mg/kg,102.176,0.0656,1.1833,EFSA Group 07 Rev 5 Acute Toxicity Data BASF (1975) BASF (1975),http://www.efsa.europa.eu/en/topics/topic/flavourings,60198,ToxVal00036_60816eb88b6ca794
,5-Methyl-3-heptanone,541-85-5,CCC(C)CC(CC)=O,DTXSID9047047,,222,222_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,3500,mg/kg,128.214,0.0273,1.5639,EFSA Group 07 Rev 5 Acute Toxicity Data Kennedy and Graepel (1991) Kennedy and Graepel (1991),http://www.efsa.europa.eu/en/topics/topic/flavourings,60199,ToxVal00036_a5eb877f34465a01
,Diisobutyl ketone,108-83-8,CC(C)CC(CC(C)C)=O,DTXSID4025080,,223,223_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5750,mg/kg,142.241,0.0404,1.3934,EFSA Group 07 Rev 5 Acute Toxicity Data Smyth et al. (1949) Smyth et al. (1949),http://www.efsa.europa.eu/en/topics/topic/flavourings,60200,ToxVal00036_e8bf557698a265c1
,Diisobutyl ketone,108-83-8,CC(C)CC(CC(C)C)=O,DTXSID4025080,,224,224_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,2800,mg/kg,142.241,0.0197,1.7059,EFSA Group 07 Rev 5 Acute Toxicity Data McOmie and Anderson (1949) McOmie and Anderson (1949),http://www.efsa.europa.eu/en/topics/topic/flavourings,60201,ToxVal00036_e8bf557698a265c1
,Diisobutyl ketone,108-83-8,CC(C)CC(CC(C)C)=O,DTXSID4025080,,225,225_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,1416,mg/kg,142.241,0.0100,2.0020,EFSA Group 07 Rev 5 Acute Toxicity Data RTECS (1975) RTECS (1975),http://www.efsa.europa.eu/en/topics/topic/flavourings,60202,ToxVal00036_e8bf557698a265c1
,"2-pentadecanone, 6,10,14-trimethyl-",502-69-2,CC(C)CCCC(C)CCCC(C)CCCC(C)=O,DTXSID40862063,,226,226_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,2000,mg/kg,268.483,0.0074,2.1279,EFSA Group 07 Rev 5 Acute Toxicity Data BASF (1988) BASF (1988),http://www.efsa.europa.eu/en/topics/topic/flavourings,60203,ToxVal00036_77de3c5378b9ce5b
