Structure,Molecule name,CAS,SMILES,ID_DB_source,,ID_DB_maestra,ID_concatenado,DB source,DB subsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,Reference DB source,URL,ToxVal_ID,Chemical_ID
,"3,5-Dimethylphenol",108-68-9,Cc1cc(O)cc(C)c1,DTXSID1025148,,888,888_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,620,mg/kg,122.166,0.0051,2.2946,"EFSA Group 22 Rev 1 Oral acute toxicity data for candidate and supporting substances (McOmie et al., 1949) (McOmie et al., 1949)",http://www.efsa.europa.eu/en/topics/topic/flavourings,60865,ToxVal00036_05997c4e4b732bb5
,"3,5-Dimethylphenol",108-68-9,Cc1cc(O)cc(C)c1,DTXSID1025148,,889,889_EFSA2DB,EFSA2,-,acute,human health,rabbit,oral,=,1313,mg/kg,122.166,0.0107,1.9687,"EFSA Group 22 Rev 1 Oral acute toxicity data for candidate and supporting substances (Maazik, 1968) (Maazik, 1968)",http://www.efsa.europa.eu/en/topics/topic/flavourings,60866,ToxVal00036_05997c4e4b732bb5
,2-Tert-Butyl-5-methylphenol,88-60-8,CC(C)(C)c(ccc(C)c1)c1O,DTXSID2026529,,890,890_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,1080,mg/kg,164.247,0.0066,2.1821,"EFSA Group 22 Rev 1 Oral acute toxicity data for candidate and supporting substances (McOmie et al., 1949) (McOmie et al., 1949)",http://www.efsa.europa.eu/en/topics/topic/flavourings,60867,ToxVal00036_bc03b5bdb49ec711
,4-Ethenyl-phenol,2628-17-3,C=Cc(cc1)ccc1O,DTXSID7073301,,891,891_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,120.151,0.0416,1.3808,"EFSA Group 22 Rev 1 Oral acute toxicity data for candidate and supporting substances (Piccirillo & Hartman, 1982) (Piccirillo & Hartman, 1982)",http://www.efsa.europa.eu/en/topics/topic/flavourings,60868,ToxVal00036_356ff039de62e421
,2-Methoxyphenol,90-05-1,COc(cccc1)c1O,DTXSID0023113,,892,892_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,725,mg/kg,124.139,0.0058,2.2336,"EFSA Group 22 Rev 1 Oral acute toxicity data for candidate and supporting substances (Taylor et al., 1964) (Taylor et al., 1964)",http://www.efsa.europa.eu/en/topics/topic/flavourings,60869,ToxVal00036_95c7e298d1fb40db
,2-Methoxyphenol,90-05-1,COc(cccc1)c1O,DTXSID0023113,,893,893_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,621,mg/kg,124.139,0.0050,2.3008,"EFSA Group 22 Rev 1 Oral acute toxicity data for candidate and supporting substances (Cioli et al., 1980) (Cioli et al., 1980)",http://www.efsa.europa.eu/en/topics/topic/flavourings,60870,ToxVal00036_95c7e298d1fb40db
,4-Methoxyphenol,150-76-5,COc(cc1)ccc1O,DTXSID4020828,,894,894_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,124.139,0.0403,1.3949,"EFSA Group 22 Rev 1 Oral acute toxicity data for candidate and supporting substances (Blaszcak & Auletta, 1987) (Blaszcak & Auletta, 1987)",http://www.efsa.europa.eu/en/topics/topic/flavourings,60871,ToxVal00036_0e93cd7fa883b67e
,"2,6-Dimethoxyphenol",91-10-1,COc1cccc(OC)c1O,DTXSID2052607,,895,895_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,790,mg/kg,154.164,0.0051,2.2904,"EFSA Group 22 Rev 1 Oral acute toxicity data for candidate and supporting substances (Piccirillo & Hartman, 1982) (Piccirillo & Hartman, 1982)",http://www.efsa.europa.eu/en/topics/topic/flavourings,60872,ToxVal00036_d599a7ec60b87483
,"4-Methyl-2,6-dimethoxyphenol",6638-05-7,Cc(cc1OC)cc(OC)c1O,DTXSID10216599,,896,896_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,1700,mg/kg,168.191,0.0101,1.9954,"EFSA Group 22 Rev 1 Oral acute toxicity data for candidate and supporting substances (Piccirillo & Hartman, 1982) (Piccirillo & Hartman, 1982)",http://www.efsa.europa.eu/en/topics/topic/flavourings,60873,ToxVal00036_946f9a893c77b483
,"Phenol, 4-ethyl-2,6-dimethoxy-",14059-92-8,CCc(cc1OC)cc(OC)c1O,DTXSID5075072,,897,897_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,2300,mg/kg,182.218,0.0126,1.8989,"EFSA Group 22 Rev 1 Oral acute toxicity data for candidate and supporting substances (Piccirillo & Hartman, 1982) (Piccirillo & Hartman, 1982)",http://www.efsa.europa.eu/en/topics/topic/flavourings,60874,ToxVal00036_e09f5fa6f842007c
,"Phenol, 2,6-dimethoxy-4-propyl-",6766-82-1,CCCc(cc1OC)cc(OC)c1O,DTXSID6075067,,898,898_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,196.245,0.0255,1.5938,"EFSA Group 22 Rev 1 Oral acute toxicity data for candidate and supporting substances (Piccirillo & Hartman, 1982) (Piccirillo & Hartman, 1982)",http://www.efsa.europa.eu/en/topics/topic/flavourings,60875,ToxVal00036_794e34c1cf3a4fa0
,"4-Allyl-2,6-dimethoxyphenol",6627-88-9,COc1cc(CC=C)cc(OC)c1O,DTXSID30216470,,899,899_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,2000,mg/kg,194.229,0.0103,1.9873,"EFSA Group 22 Rev 1 Oral acute toxicity data for candidate and supporting substances (Piccirillo & Hartman, 1982) (Piccirillo & Hartman, 1982)",http://www.efsa.europa.eu/en/topics/topic/flavourings,60876,ToxVal00036_9b2f56b8b3aba737
,4-Hydroxyacetophenone,99-93-4,CC(c(cc1)ccc1O)=O,DTXSID0029133,,900,900_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,1780,mg/kg,136.15,0.0131,1.8836,"EFSA Group 22 Rev 1 Oral acute toxicity data for candidate and supporting substances (Procter & Gamble Company, 1977) (Procter & Gamble Company, 1977)",http://www.efsa.europa.eu/en/topics/topic/flavourings,60877,ToxVal00036_f9a0a60eda6c41b2
,4-(4-Hydroxyphenyl)butan-2-one,5471-51-2,CC(CCc(cc1)ccc1O)=O,DTXSID5044495,,901,901_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,164.203,0.0305,1.5164,"EFSA Group 22 Rev 1 Oral acute toxicity data for candidate and supporting substances (Mc Gee Laboratories, Inc., 1974) (Mc Gee Laboratories, Inc., 1974)",http://www.efsa.europa.eu/en/topics/topic/flavourings,60878,ToxVal00036_f2833f2c41c69ca8
,4-(4-Hydroxyphenyl)butan-2-one,5471-51-2,CC(CCc(cc1)ccc1O)=O,DTXSID5044495,,902,902_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,1320,mg/kg,164.203,0.0080,2.0948,"EFSA Group 22 Rev 1 Oral acute toxicity data for candidate and supporting substances (Gaunt et al., 1970) (Gaunt et al., 1970)",http://www.efsa.europa.eu/en/topics/topic/flavourings,60879,ToxVal00036_f2833f2c41c69ca8
,4-(4-Hydroxy-3-methoxyphenyl)-2-butanone,122-48-5,CC(CCc(cc1)cc(OC)c1O)=O,DTXSID8047420,,903,903_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,2580,mg/kg,194.229,0.0133,1.8767,"EFSA Group 22 Rev 1 Oral acute toxicity data for candidate and supporting substances (Moreno, 1977ae) (Moreno, 1977ae)",http://www.efsa.europa.eu/en/topics/topic/flavourings,60880,ToxVal00036_32ea9700c86c6a05
,4-[4-(Acetyloxy)phenyl]-2-butanone,3572-06-3,CC(CCc(cc1)ccc1OC(C)=O)=O,DTXSID2035481,,904,904_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,206.24,0.0242,1.6154,"EFSA Group 22 Rev 1 Oral acute toxicity data for candidate and supporting substances (Sauer & Salem, 1980) (Sauer & Salem, 1980)",http://www.efsa.europa.eu/en/topics/topic/flavourings,60881,ToxVal00036_d69a63b9d74a64e3
,Anisole,100-66-3,COc1ccccc1,DTXSID4041608,,905,905_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,3700,mg/kg,108.14,0.0342,1.4658,"EFSA Group 23 Rev 4 Acute Toxicity Data (Taylor et al., 1964) (Taylor et al., 1964)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60882,ToxVal00036_5736d9339000e1ab
,Anisole,100-66-3,COc1ccccc1,DTXSID4041608,,906,906_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,3700,mg/kg,108.14,0.0342,1.4658,"EFSA Group 23 Rev 4 Acute Toxicity Data (Bar and Griepentrog, 1967) (Bar and Griepentrog, 1967)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60883,ToxVal00036_5736d9339000e1ab
,Anisole,100-66-3,COc1ccccc1,DTXSID4041608,,907,907_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,3700,mg/kg,108.14,0.0342,1.4658,"EFSA Group 23 Rev 4 Acute Toxicity Data (Jenner et al., 1964) (Jenner et al., 1964)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60884,ToxVal00036_5736d9339000e1ab
,1-Methoxy-4-methylbenzene,104-93-8,Cc(cc1)ccc1OC,DTXSID9026710,,908,908_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,1920,mg/kg,122.166,0.0157,1.8036,"EFSA Group 23 Rev 4 Acute Toxicity Data (Wong and Hart, 1971) (Wong and Hart, 1971)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60885,ToxVal00036_28319c21e0a7b5d8
,"2,4-Dimethylanisole",6738-23-4,Cc(cc1)cc(C)c1OC,DTXSID60217733,,909,909_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,2000,mg/kg,136.193,0.0147,1.8331,"EFSA Group 23 Rev 4 Acute Toxicity Data (Gilman, 1997) (Gilman, 1997)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60886,ToxVal00036_778d091a05775e48
,"1,3-Dimethoxybenzene",151-10-0,COc1cccc(OC)c1,DTXSID2047060,,910,910_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,2500,mg/kg,138.165,0.0181,1.7425,"EFSA Group 23 Rev 4 Acute Toxicity Data (Moreno, 1978a) (Moreno, 1978a)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60887,ToxVal00036_02fbf198fb3e545c
,"1,3-Dimethoxybenzene",151-10-0,COc1cccc(OC)c1,DTXSID2047060,,911,911_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,2560,mg/kg,138.165,0.0185,1.7322,"EFSA Group 23 Rev 4 Acute Toxicity Data (Bar and Griepentrog, 1967) (Bar and Griepentrog, 1967)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60888,ToxVal00036_02fbf198fb3e545c
,Hydroquinone dimethyl ether,150-78-7,COc(cc1)ccc1OC,DTXSID0022014,,912,912_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,3600,mg/kg,138.165,0.0261,1.5841,"EFSA Group 23 Rev 4 Acute Toxicity Data (Moreno, 1973a) (Moreno, 1973a)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60889,ToxVal00036_ad33695d435585e5
,Ethyl 3-methyl-2-butenyl ether,22094-00-4,CCOCC=C(C)C,DTXSID20176599,,913,913_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,14,mg/kg,114.187,0.0001,3.9115,"EFSA Group 23 Rev 4 Acute Toxicity Data (Bahler and Bonetti, 1983) (Bahler and Bonetti, 1983)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60890,ToxVal00036_e5d01972accfaed0
,"2,6-Octadiene, 1-ethoxy-3,7-dimethyl-",40267-72-9,CCOCC=C(C)CCC=C(C)C,DTXSID1068223,,914,914_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,182.306,0.0274,1.5618,"EFSA Group 23 Rev 4 Acute Toxicity Data (Moreno, 1977a) (Moreno, 1977a)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60891,ToxVal00036_ba2f4e0572a8a93b
,"1,4-Cineole",470-67-7,CC(C)C1(CC2)OC2(C)CC1,DTXSID3047396,,915,915_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,3100,mg/kg,154.252,0.0201,1.6969,"EFSA Group 23 Rev 4 Acute Toxicity Data (Moreno, 1981) (Moreno, 1981)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60892,ToxVal00036_3920eacbc335b10d
,"1,8-Cineol",470-82-6,CC1(C)O[C@]2(C)CC[C@H]1CC2,DTXSID4020616,,916,916_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,2480,mg/kg,154.252,0.0161,1.7938,"EFSA Group 23 Rev 4 Acute Toxicity Data (Bar and Griepentrog, 1967) (Bar and Griepentrog, 1967)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60893,ToxVal00036_f07a3652bd0826f7
,"1,8-Cineol",470-82-6,CC1(C)O[C@]2(C)CC[C@H]1CC2,DTXSID4020616,,917,917_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,2480,mg/kg,154.252,0.0161,1.7938,"EFSA Group 23 Rev 4 Acute Toxicity Data (Jenner et al., 1964) (Jenner et al., 1964)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60894,ToxVal00036_f07a3652bd0826f7
,"1,8-Cineol",470-82-6,CC1(C)O[C@]2(C)CC[C@H]1CC2,DTXSID4020616,,918,918_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,1550,mg/kg,154.252,0.0100,1.9979,"EFSA Group 23 Rev 4 Acute Toxicity Data (Brownlee, 1940) (Brownlee, 1940)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60895,ToxVal00036_f07a3652bd0826f7
,Nerol oxide,1786-08-9,CC1(CCC=C(C)C)OC1CO,DTXSID6051805,,919,919_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,170.251,0.0294,1.5321,"EFSA Group 23 Rev 4 Acute Toxicity Data (Moreno, 1980) (Moreno, 1980)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60896,ToxVal00036_0ef2193ad4c74911
,"2,2,6-Trimethyl-6-vinyltetrahydropyran",7392-19-0,CC(C)(CCC1)OC1(C)C=C,DTXSID8051338,,920,920_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,2700,mg/kg,154.252,0.0175,1.7569,"EFSA Group 23 Rev 4 Acute Toxicity Data (Sauer-Freeman, 1980) (Sauer-Freeman, 1980)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60897,ToxVal00036_e87634dce4b6480a
,"2,2,6-Trimethyl-6-vinyltetrahydropyran",7392-19-0,CC(C)(CCC1)OC1(C)C=C,DTXSID8051338,,921,921_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,4000,mg/kg,154.252,0.0259,1.5862,"EFSA Group 23 Rev 4 Acute Toxicity Data (Roure Bertrand Dupont, 1979) (Roure Bertrand Dupont, 1979)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60898,ToxVal00036_e87634dce4b6480a
,4-Methyl-2-(2-methylprop-1-en-1-yl)tetrahydro-2H-pyran,16409-43-1,CC1CC(C=C(C)C)OCC1,DTXSID1051771,,922,922_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,4300,mg/kg,154.252,0.0279,1.5548,"EFSA Group 23 Rev 4 Acute Toxicity Data (Opdyke, 1976) (Opdyke, 1976)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60899,ToxVal00036_e09557f74b03d79b
,(2-Methoxyethyl)benzene,3558-60-9,COCCc1ccccc1,DTXSID1052032,,923,923_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,4100,mg/kg,136.193,0.0301,1.5214,"EFSA Group 23 Rev 4 Acute Toxicity Data (Moreno, 1977b) (Moreno, 1977b)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60900,ToxVal00036_3782ff2501a22467
,4-Propylanisole,104-45-0,CCCc(cc1)ccc1OC,DTXSID0042325,,924,924_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,4400,mg/kg,150.22,0.0293,1.5333,"EFSA Group 23 Rev 4 Acute Toxicity Data (Taylor et al., 1964) (Taylor et al., 1964)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60901,ToxVal00036_2b90c2ce2c0136a5
,4-Propylanisole,104-45-0,CCCc(cc1)ccc1OC,DTXSID0042325,,925,925_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,4400,mg/kg,150.22,0.0293,1.5333,"EFSA Group 23 Rev 4 Acute Toxicity Data (Jenner et al., 1964) (Jenner et al., 1964)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60902,ToxVal00036_2b90c2ce2c0136a5
,4-Propylanisole,104-45-0,CCCc(cc1)ccc1OC,DTXSID0042325,,926,926_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,4400,mg/kg,150.22,0.0293,1.5333,"EFSA Group 23 Rev 4 Acute Toxicity Data (Bar and Griepentrog, 1967) (Bar and Griepentrog, 1967)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60903,ToxVal00036_2b90c2ce2c0136a5
,4-Propylanisole,104-45-0,CCCc(cc1)ccc1OC,DTXSID0042325,,927,927_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,7300,mg/kg,150.22,0.0486,1.3134,"EFSA Group 23 Rev 4 Acute Toxicity Data (Jenner et al., 1964) (Jenner et al., 1964)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60904,ToxVal00036_2b90c2ce2c0136a5
,2-Methoxynaphthalene,93-04-9,COc1cc2ccccc2cc1,DTXSID7044392,,928,928_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,158.199,0.0316,1.5002,"EFSA Group 23 Rev 4 Acute Toxicity Data (Levenstein, 1974) (Levenstein, 1974)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60905,ToxVal00036_5caafcee157381c9
,2-Methoxynaphthalene,93-04-9,COc1cc2ccccc2cc1,DTXSID7044392,,929,929_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,825,mg/kg,158.199,0.0052,2.2827,"EFSA Group 23 Rev 4 Acute Toxicity Data (Schafer and Bowles, 1985) (Schafer and Bowles, 1985)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60906,ToxVal00036_5caafcee157381c9
,2-Ethoxynaphthalene,93-18-5,CCOc1cc2ccccc2cc1,DTXSID2049684,,930,930_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,3110,mg/kg,172.226,0.0181,1.7433,"EFSA Group 23 Rev 4 Acute Toxicity Data (Wong and Weir, 1971) (Wong and Weir, 1971)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60907,ToxVal00036_e311c8ad28656111
,2-Ethoxynaphthalene,93-18-5,CCOc1cc2ccccc2cc1,DTXSID2049684,,931,931_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,1213,mg/kg,172.226,0.0070,2.1522,"EFSA Group 23 Rev 4 Acute Toxicity Data (Schafer and Bowles, 1985) (Schafer and Bowles, 1985)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60908,ToxVal00036_e311c8ad28656111
,2-(2-Methylpropoxy)naphthalene,2173-57-1,CC(C)COc1cc2ccccc2cc1,DTXSID1051484,,932,932_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5930,mg/kg,200.28,0.0296,1.5286,"EFSA Group 23 Rev 4 Acute Toxicity Data (Jenner et al., 1964) (Jenner et al., 1964)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60909,ToxVal00036_1de3deef9857ff94
,2-(2-Methylpropoxy)naphthalene,2173-57-1,CC(C)COc1cc2ccccc2cc1,DTXSID1051484,,933,933_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,200.28,0.0250,1.6027,"EFSA Group 23 Rev 4 Acute Toxicity Data (Moreno, 1978b) (Moreno, 1978b)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60910,ToxVal00036_1de3deef9857ff94
,2-(2-Methylpropoxy)naphthalene,2173-57-1,CC(C)COc1cc2ccccc2cc1,DTXSID1051484,,934,934_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5930,mg/kg,200.28,0.0296,1.5286,"EFSA Group 23 Rev 4 Acute Toxicity Data (Bar and Griepentrog, 1967) (Bar and Griepentrog, 1967)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60911,ToxVal00036_1de3deef9857ff94
,2-Phenoxyethyl isobutyrate,103-60-6,CC(C)C(OCCOc1ccccc1)=O,DTXSID7042279,,935,935_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,208.256,0.0240,1.6196,"EFSA Group 23 Rev 4 Acute Toxicity Data (Moreno, 1973b) (Moreno, 1973b)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60912,ToxVal00036_de84b4d1810713d7
,Phenoxyacetic acid,122-59-8,OC(COc1ccccc1)=O,DTXSID9025873,,936,936_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,1800,mg/kg,152.149,0.0118,1.9270,"EFSA Group 23 Rev 4 Acute Toxicity Data (Burdock and Ford, 1990) (Burdock and Ford, 1990)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60913,ToxVal00036_38486ffa59458f58
,Phenoxyacetic acid,122-59-8,OC(COc1ccccc1)=O,DTXSID9025873,,937,937_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,1772,mg/kg,152.149,0.0116,1.9338,"EFSA Group 23 Rev 4 Acute Toxicity Data (Piccirillo, 1983) (Piccirillo, 1983)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60914,ToxVal00036_38486ffa59458f58
,Phenoxyacetic acid,122-59-8,OC(COc1ccccc1)=O,DTXSID9025873,,938,938_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,152.149,0.0329,1.4833,"EFSA Group 23 Rev 4 Acute Toxicity Data (Moreno, 1976) (Moreno, 1976)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60915,ToxVal00036_38486ffa59458f58
,alpha-Terpineol,98-55-5,CC(C)(C1CC=C(C)CC1)O,DTXSID5026625,,939,939_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,4300,mg/kg,154.252,0.0279,1.5548,"EFSA Group 23 Rev 4 Acute Toxicity Data (Moreno, 1971) (Moreno, 1971)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60916,ToxVal00036_2bb98531d9ec9a69
,alpha-Terpineol,98-55-5,CC(C)(C1CC=C(C)CC1)O,DTXSID5026625,,940,940_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,2830,mg/kg,154.252,0.0183,1.7364,"EFSA Group 23 Rev 4 Acute Toxicity Data (Yamahara et al., 1985) (Yamahara et al., 1985)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60917,ToxVal00036_2bb98531d9ec9a69
,Terpineol acetate,8007-35-0,CC(C)(C1CC=C(C)CC1)OC(C)=O,DTXSID6051431,,941,941_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5075,mg/kg,196.289,0.0259,1.5875,"EFSA Group 23 Rev 4 Acute Toxicity Data (Jenner et al., 1964) (Jenner et al., 1964)",http://www.efsa.europa.eu/en/efsajournal/pub/3092,60918,ToxVal00036_e7bd5615d7a4d5e0
,"2,5-Dimethylpyrrole",625-84-3,Cc1ccc(C)[nH]1,DTXSID40211552,,942,942_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,59,mg/kg,95.1445,0.0006,3.2075,"EFSA Group 24 Rev. 2 Acute Toxicity data summary (Burdock and Ford, 1990) (Burdock and Ford, 1990)",http://www.efsa.europa.eu/en/efsajournal/pub/3453,60919,ToxVal00036_201a0dc5e36bfb00
,Indole,120-72-9,c1c[nH]c2c1cccc2,DTXSID0020737,,943,943_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,1000,mg/kg,117.151,0.0085,2.0687,"EFSA Group 24 Rev. 2 Acute Toxicity data summary (Smyth et al., 1962) (Smyth et al., 1962)",http://www.efsa.europa.eu/en/efsajournal/pub/3453,60920,ToxVal00036_94582f942fde4d8b
,3-Methylindole,83-34-1,Cc1c[nH]c2c1cccc2,DTXSID8021775,,944,944_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,3450,mg/kg,131.177,0.0263,1.5800,"EFSA Group 24 Rev. 2 Acute Toxicity data summary (McGee Laboratories Inc., 1974) (McGee Laboratories Inc., 1974)",http://www.efsa.europa.eu/en/efsajournal/pub/3453,60921,ToxVal00036_ad6953ff154bfa80
,2-Propionylpyrrole,1073-26-3,CCC(c1ccc[nH]1)=O,DTXSID30147997,,945,945_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,1620,mg/kg,123.154,0.0132,1.8809,"EFSA Group 24 Rev. 2 Acute Toxicity data summary (Moran et al., 1980) (Moran et al., 1980)",http://www.efsa.europa.eu/en/efsajournal/pub/3453,60922,ToxVal00036_e14e6a124ed9e780
,2-Methylpyridine,109-06-8,Cc1ncccc1,DTXSID9021899,,946,946_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,950,mg/kg,93.1286,0.0102,1.9914,"EFSA Group 24 Rev. 2 Acute Toxicity data summary (Dow Chemical Company, 1976) (Dow Chemical Company, 1976)",http://www.efsa.europa.eu/en/efsajournal/pub/3453,60923,ToxVal00036_e597737f7a05b238
,2-Methylpyridine,109-06-8,Cc1ncccc1,DTXSID9021899,,947,947_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,400,mg/kg,93.1286,0.0043,2.3670,"EFSA Group 24 Rev. 2 Acute Toxicity data summary (Eastman Kodak Co., 1980) (Eastman Kodak Co., 1980)",http://www.efsa.europa.eu/en/efsajournal/pub/3453,60924,ToxVal00036_e597737f7a05b238
,2-Methylpyridine,109-06-8,Cc1ncccc1,DTXSID9021899,,948,948_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,1410,mg/kg,93.1286,0.0151,1.8199,"EFSA Group 24 Rev. 2 Acute Toxicity data summary (Smyth et al., 1951) (Smyth et al., 1951)",http://www.efsa.europa.eu/en/efsajournal/pub/3453,60925,ToxVal00036_e597737f7a05b238
,2-Methylpyridine,109-06-8,Cc1ncccc1,DTXSID9021899,,949,949_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,500,mg/kg,93.1286,0.0054,2.2701,"EFSA Group 24 Rev. 2 Acute Toxicity data summary (Taylor and Olson, 1964) (Taylor and Olson, 1964)",http://www.efsa.europa.eu/en/efsajournal/pub/3453,60926,ToxVal00036_e597737f7a05b238
,2-Methylpyridine,109-06-8,Cc1ncccc1,DTXSID9021899,,950,950_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,810,mg/kg,93.1286,0.0087,2.0606,"EFSA Group 24 Rev. 2 Acute Toxicity data summary (Birch, 1972a) (Birch, 1972a)",http://www.efsa.europa.eu/en/efsajournal/pub/3453,60927,ToxVal00036_e597737f7a05b238
,2-Methylpyridine,109-06-8,Cc1ncccc1,DTXSID9021899,,951,951_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,400,mg/kg,93.1286,0.0043,2.3670,"EFSA Group 24 Rev. 2 Acute Toxicity data summary (Eastman Kodak Co., 1980) (Eastman Kodak Co., 1980)",http://www.efsa.europa.eu/en/efsajournal/pub/3453,60928,ToxVal00036_e597737f7a05b238
